hasPrivacy,revlength,revSent,hasDeveloperWebsite,hasDeveloperEmail,installRange,avgRating,price
1,601.0,-3.0,1,1,30000000.0,4.051,0.0
1,1139.0,2.0,1,1,30000000.0,4.351,0.0
1,2223.0,-4.0,1,0,3000000.0,4.555,0.0
0,804.0,8.0,1,1,30000000.0,4.623,0.0
1,1867.0,-11.0,1,0,7500000.0,4.046,0.0
0,1162.0,1.0,1,1,30000000.0,4.595,0.0
1,1522.0,-4.0,1,1,30000000.0,4.526,0.0
0,1895.0,-5.0,1,0,30000000.0,4.039,0.0
1,1195.0,-2.0,1,1,3000000.0,4.4,0.0
1,1488.0,-4.0,1,1,300000.0,3.935,0.0
0,1864.0,-5.0,1,1,3000000.0,4.075,0.0
0,2049.0,-2.0,1,0,750000.0,3.983,0.0
0,417.0,1.0,1,1,30000000.0,4.238,0.0
0,1276.0,-3.0,1,1,3000000.0,3.915,0.0
0,1210.0,-3.0,1,1,750000.0,4.05,0.0
1,2038.0,-7.0,1,1,750000.0,3.795,0.0
0,1044.0,1.0,1,1,7500000.0,3.997,0.0
1,1245.0,-5.0,1,1,3000000.0,3.212,0.0
0,225.0,-1.0,1,1,3000000.0,2.611,0.0
0,1120.0,-3.0,1,1,30000000.0,4.547,0.0
1,1406.0,4.0,1,1,3000000.0,2.671,0.0
1,1063.0,-3.0,1,0,750000.0,4.045,0.0
0,855.0,-9.0,1,1,750000.0,3.555,0.0
1,2147.0,-5.0,1,1,3000000.0,4.59,0.0
1,1189.0,-9.0,1,1,7500000.0,4.258,0.0
0,1804.0,-10.0,1,1,750000.0,4.428,0.0
0,1514.0,5.0,1,1,3000000.0,4.401,0.0
1,1272.0,-6.0,1,1,3000000.0,4.275,0.0
1,1413.0,-8.0,1,1,750000.0,4.149,0.0
1,610.0,-3.0,1,1,300000.0,4.396,0.0
1,1145.0,2.0,1,1,3000000.0,4.113,0.0
0,1413.0,2.0,1,1,30000.0,4.24,0.0
1,573.0,-4.0,1,1,300000.0,4.241,0.0
1,1387.0,-6.0,1,1,3000000.0,3.989,0.0
1,1336.0,-7.0,1,1,75000.0,4.31,0.0
1,817.0,5.0,1,1,3000000.0,4.451,0.0
1,2205.0,-9.0,1,1,300000.0,3.916,0.0
0,541.0,1.0,1,1,300000.0,4.761,0.0
0,310.0,0.0,1,1,300000.0,4.158,0.0
0,880.0,-4.0,1,1,300000.0,2.972,0.0
0,583.0,-6.0,1,1,300000.0,3.903,0.0
0,1888.0,-9.0,1,1,3000000.0,3.433,0.0
0,1122.0,-3.0,1,1,3000000.0,4.412,0.0
1,1613.0,15.0,1,0,3000000.0,4.461,0.0
0,1014.0,-2.0,0,1,300000.0,3.564,0.0
0,1115.0,5.0,0,1,3000000.0,4.131,0.0
1,437.0,-1.0,1,1,30000.0,3.55,0.0
1,307.0,1.0,1,1,3000000.0,4.435,0.0
1,991.0,-3.0,1,1,300000.0,4.233,0.0
0,578.0,1.0,1,1,3000000.0,3.975,0.0
1,962.0,4.0,1,1,300000.0,3.926,0.0
0,1267.0,2.0,1,1,3000000.0,4.59,0.0
0,1300.0,-9.0,1,1,300000.0,3.601,0.0
0,1051.0,3.0,1,1,300000.0,3.701,0.0
1,1822.0,-13.0,1,1,300000.0,2.931,0.0
0,535.0,0.0,1,1,3000000.0,4.564,0.0
0,1075.0,-7.0,1,1,7500000.0,4.179,0.0
1,691.0,7.0,1,1,3000000.0,4.466,0.0
1,991.0,-3.0,1,0,750000.0,4.34,0.0
0,805.0,3.0,1,1,300000.0,4.539,0.0
1,1509.0,0.0,1,1,3000000.0,4.135,0.0
0,1661.0,0.0,0,1,300000.0,4.48,0.0
1,1484.0,3.0,1,1,7500000.0,4.141,0.0
0,1431.0,-6.0,0,1,3000000.0,4.557,0.0
0,929.0,2.0,0,1,300000.0,4.452,0.0
0,577.0,4.0,0,1,3000000.0,4.482,0.0
0,833.0,-4.0,1,1,3000000.0,4.572,0.0
0,869.0,8.0,1,1,300000.0,4.789,0.0
0,1140.0,-3.0,0,1,750000.0,4.212,0.0
1,651.0,3.0,1,1,3000000.0,4.226,0.0
1,516.0,-3.0,0,1,3000000.0,4.182,0.0
0,326.0,0.0,1,1,300000.0,4.528,0.0
0,790.0,0.0,1,1,3000000.0,4.384,0.0
0,1138.0,-7.0,1,1,750000.0,4.123,0.0
0,1284.0,0.0,1,1,30000.0,4.399,0.0
0,2334.0,-8.0,1,1,3000000.0,4.239,0.0
0,585.0,-1.0,0,1,750000.0,4.249,0.0
1,2314.0,2.0,1,1,30000.0,3.228,0.0
0,1573.0,-6.0,1,1,3000000.0,4.301,0.0
0,952.0,5.0,0,1,750000.0,4.095,0.0
0,156.0,1.0,0,1,75000.0,4.223,0.0
0,607.0,2.0,1,0,300000.0,4.413,0.0
0,441.0,-1.0,0,1,75000.0,4.018,0.0
1,674.0,-1.0,1,1,3000000.0,4.529,0.0
0,1784.0,-2.0,0,1,300000.0,4.341,0.0
0,153.0,5.0,1,1,750000.0,4.613,0.0
1,1339.0,-5.0,1,1,750000.0,4.664,0.0
0,519.0,4.0,1,1,3000000.0,4.402,0.0
0,928.0,-1.0,0,1,300000.0,4.573,0.0
1,386.0,0.0,1,1,750000.0,4.302,0.0
0,664.0,-3.0,1,1,300000.0,4.035,0.0
1,909.0,0.0,1,1,3000000.0,4.256,0.0
1,144.0,3.0,1,1,750000.0,3.805,0.0
0,376.0,0.0,1,1,300000.0,4.31,0.0
0,740.0,3.0,1,1,3000000.0,4.528,0.0
1,1787.0,-9.0,1,1,75000.0,2.117,0.0
0,1289.0,-2.0,1,1,30000.0,4.421,0.0
1,547.0,3.0,1,1,30000000.0,4.261,0.0
0,757.0,0.0,1,1,30000.0,4.629,0.0
1,1484.0,-7.0,1,1,75000.0,4.05,0.0
0,687.0,0.0,1,1,300000.0,4.685,0.0
0,636.0,-1.0,0,1,30000.0,4.339,0.0
0,781.0,-4.0,1,1,30000.0,4.646,0.0
0,161.0,2.0,0,1,75000.0,4.182,0.0
0,614.0,3.0,1,1,30000.0,4.656,0.0
0,34.0,1.0,0,1,75000.0,4.465,0.0
0,166.0,1.0,0,1,750000.0,4.279,0.0
0,77.0,1.0,1,1,7500.0,4.677,0.0
0,420.0,-3.0,0,1,300000.0,3.901,0.0
0,429.0,4.0,1,1,750000.0,4.115,0.0
0,69.0,0.0,0,1,3000.0,4.429,0.0
0,969.0,1.0,1,1,7500.0,4.787,0.0
0,186.0,4.0,1,1,7500.0,4.815,0.0
1,1138.0,-1.0,1,1,75000.0,4.147,0.0
0,187.0,0.0,1,1,7500.0,4.696,0.0
0,346.0,7.0,0,1,300000.0,4.408,0.0
0,534.0,2.0,1,1,300000.0,4.52,0.0
0,17.0,0.0,1,1,7500.0,4.222,0.0
0,1044.0,1.0,1,1,30000.0,4.197,0.0
0,176.0,2.0,1,1,7500.0,3.952,0.0
1,1493.0,-7.0,1,1,300000000.0,4.271,0.0
1,1519.0,-10.0,1,1,300000000.0,3.956,0.0
1,1187.0,-4.0,1,1,30000000.0,4.424,0.0
1,1365.0,-11.0,1,1,300000000.0,4.539,0.0
1,1743.0,-5.0,1,1,75000000.0,3.994,0.0
1,1106.0,-8.0,1,1,75000000.0,4.436,0.0
1,1639.0,1.0,1,1,300000000.0,4.559,0.0
1,1070.0,-3.0,1,1,300000000.0,4.425,0.0
1,1221.0,-7.0,1,0,300000000.0,4.18,0.0
0,1122.0,-9.0,1,0,300000000.0,4.179,0.0
1,1457.0,-2.0,1,0,75000000.0,4.395,0.0
1,1638.0,-5.0,1,0,30000000.0,4.201,0.0
1,1255.0,-7.0,1,1,3000000.0,4.164,0.0
1,1469.0,-8.0,1,1,30000000.0,4.394,0.0
0,1717.0,-3.0,1,1,7500000.0,4.273,0.0
1,404.0,2.0,1,1,30000000.0,4.659,0.0
0,1561.0,-8.0,1,1,7500000.0,3.958,0.0
0,1100.0,-4.0,1,1,75000000.0,4.333,0.0
0,1389.0,-10.0,1,1,30000000.0,4.135,0.0
0,1508.0,-9.0,1,1,30000000.0,4.42,0.0
0,1243.0,-9.0,1,0,75000000.0,4.398,0.0
1,1591.0,-8.0,1,1,3000000.0,4.242,0.0
0,942.0,-5.0,1,0,30000000.0,2.843,0.0
1,1413.0,-9.0,1,1,30000000.0,4.229,0.0
1,1969.0,-4.0,1,1,3000000.0,3.991,0.0
0,1392.0,-9.0,1,1,7500000.0,4.12,0.0
1,1528.0,-3.0,1,1,7500000.0,4.33,0.0
1,1295.0,-9.0,1,0,750000000.0,4.263,0.0
1,1676.0,-13.0,1,1,3000000.0,3.97,0.0
1,1294.0,-6.0,1,1,75000000.0,4.545,0.0
1,1919.0,-9.0,1,1,3000000.0,3.77,0.0
1,908.0,-4.0,1,1,3000000.0,4.386,0.0
1,1345.0,2.0,1,1,300000000.0,3.46,0.0
0,1970.0,-8.0,1,1,300000000.0,4.289,0.0
0,1337.0,5.0,1,1,7500000.0,4.364,0.0
1,1123.0,-2.0,1,1,3000000.0,3.131,0.0
1,211.0,-1.0,1,1,3000000.0,4.327,0.0
0,1508.0,-1.0,1,1,3000000.0,3.616,0.0
0,1252.0,2.0,1,1,3000000.0,3.683,0.0
1,1590.0,-5.0,1,1,3000000.0,4.517,0.0
0,1358.0,-8.0,1,1,30000000.0,4.317,0.0
0,1350.0,-4.0,1,1,3000000.0,3.545,0.0
0,1577.0,-12.0,1,1,3000000.0,4.337,0.0
0,728.0,3.0,0,1,300000.0,4.009,0.0
0,1707.0,-1.0,1,1,300000000.0,3.957,0.0
0,1817.0,-3.0,1,1,300000.0,3.298,0.0
0,1058.0,-2.0,1,1,30000000.0,4.329,0.0
0,1217.0,-4.0,1,1,3000000.0,4.185,0.0
1,1447.0,-2.0,1,1,3000000.0,4.303,0.0
0,1574.0,-9.0,1,1,30000000.0,4.14,0.0
0,1354.0,0.0,1,1,300000.0,4.551,0.0
0,1427.0,-9.0,1,1,30000000.0,4.388,0.0
